Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
El Salvador,SLV,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,82.47515,..,92.42109,93.43535,95.73427,96.27352,..,96.56062,96.49859,95.83834,95.956,95.99898,96.12802
Equatorial Guinea,GNQ,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,79.76474,..,..,..,..,..,66.60948,73.81105,71.66553,70.08589,..,..,..,..,52.96731,52.74527,52.9907
Eritrea,ERI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,20.03015,..,22.87138,23.92425,25.46953,25.84357,..,31.14469,36.26178,38.38929,43.56291,48.29034,50.99359,52.54229,51.86646,47.13217,43.80148,40.53377,38.28655
Estonia,EST,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,87.03452,90.60952,..,99.22569,99.14384,98.95675,98.88939,98.85664,97.23954,96.28656,96.11475,95.68751,96.76072,96.27493,96.09259,99.09933
Ethiopia,ETH,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,19.15098,21.89509,26.13699,..,33.60573,36.08993,40.15604,44.41106,46.63272,47.40564,50.27604,61.21723,65.92449,71.1291,76.78814,76.36157,74.44834
Faroe Islands,FRO,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,96.64998,..,97.0038,95.49544,93.14649,93.57196,94.54783,94.24829,94.86333,97.93859,99.21707,99.30016,99.15559,..,99.12929,99.61435,99.3302,99.38889,..
Finland,FIN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,98.89608,98.78067,98.45692,98.50664,98.84871,99.61284,99.83001,99.73101,99.75563,99.52864,98.81946,97.89149,97.48836,96.92697,97.38365,97.68227,97.72574,97.95895
France,FRA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,99.95854,99.95402,99.59395,97.99023,97.75706,98.7212,99.71414,99.54832,..,99.63634,99.57321,99.60072,99.58208,99.42643,99.05885,99.29118,99.19507,99.20779,99.14919,99.24225,99.2566
French Polynesia,PYF,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,91.23398,..,..,..,..,..,..,..,..,..,..,..,..,..
"Gambia, The",GMB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,47.79297,..,45.9941,49.3052,..,..,59.46372,..,63.51698,75.10356,72.7627,73.73379,71.68059,75.40885,75.57474,72.73848,77.17432,76.91606,72.5064,..,70.52512
Georgia,GEO,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,83.77997,83.74842,85.12144,..,..,..,..,..,..,90.65259,90.87612,94.99062,95.17779,99.59366,99.95979,..
Germany,DEU,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,99.97123,99.87581,99.85466,99.92787,99.74869,99.80516,99.75001,99.62235,99.77985,99.60066,99.56221,99.61227
Ghana,GHA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,62.09413,65.63159,60.20219,62.7061,61.59309,59.60699,66.50835,66.0584,72.38715,77.90944,76.47685,..
Gibraltar,GIB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,95.41965,95.34977,93.83076,91.87798,90.83304,91.36116,89.67471,89.62341,96.11477,96.57814,98.07477,97.33477,97.88553,98.16645,98.04702,97.17047,96.92321,97.4118,..,..,98.52311
Greenland,GRL,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,99.99143,..,..,96.29127,..,98.52032,90.68423,..,93.42447,95.79053,97.47437,..
Guam,GUM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,71.97312,..,82.13305,85.05849,84.40453,87.7789,..,92.27924,93.65375,94.96197,95.92472,95.91736,99.08484,98.69265
Guinea,GIN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,26.0572,27.82344,..,..,..,..,..,..,39.40078,41.86353,44.97694,48.4439,55.80934,59.34176,62.43106,64.45744,66.63975,68.47544,67.30278,68.44066,70.54666
Guinea-Bissau,GNB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,46.70297,..,..,..,..,..,..,..,..,..,69.23096
Guyana,GUY,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,96.02243,94.57272,94.89648,..,94.70354,91.18412,..,..,..,..,..,..,92.34454,..,..,..,..,89.18348,82.66142,84.66971
Haiti,HTI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,57.33722,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,88.15565,..,89.34373,..,..,..,..,..,..,88.50671,..,..,93.06459,95.07365,91.21878,96.19729,92.11987,96.19433,96.65026,96.05857
"Hong Kong SAR, China",HKG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,91.59382,90.54963,78.45522,87.02476,95.9876,96.12638,96.60386,96.98772,97.08041,95.94588,95.55724,96.28556,96.79867,96.62556,97.87562,98.58271,98.45496
Iceland,ISL,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,97.42183,..,98.02928,98.27384,98.96979,99.03435,99.16419,99.56882,99.54001,99.26186,97.8515,97.89407,97.95872,98.04791,98.62964,99.12359,98.66159
India,IND,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,77.45203,..,..,..,..,..,..,..,..,..,84.13654,84.06309,83.86999,88.70306,..,..,..,96.96656,96.98704,95.64361,96.19281
Indonesia,IDN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,96.28028,95.37334,94.51852,93.31485,93.84232,93.65797,92.55698,92.50038,..,..,..,96.16513,95.4445,94.90452,94.11054,93.1107,94.40061,96.73501,95.81192,96.47277,96.81365
"Iran, Islamic Rep.",IRN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,92.56615,..,96.36691,..,..,..,..,93.44858,..,85.88277,85.25191,..,93.9059,93.34096,96.40629,96.18342,98.78805,99.51474,..,99.57736,99.68312
